id_cliente;nombre;apellido;telefono;direccion
;Kassey;Leving;757 541 6946;2 Havey Trail
;Isak;Fuggles;957 119 5184;1 Barby Park
;Harli;Carolan;413 204 6819;81692 Anderson Drive
;Minnie;Crake;660 848 4440;52613 Cody Point
;Jerrie;Duinbleton;139 676 5495;96 Cottonwood Road
;Farrell;Predohl;495 804 4133;7 Springs Junction
;Kyle;Klimowski;163 717 1371;6 Beilfuss Lane
;Kristos;Simacek;945 767 2511;5850 Meadow Valley Pass
;Aeriel;Jagg;924 571 1067;288 Sachs Circle
;Gordan;Kindleside;795 628 2816;87935 Lakewood Drive
;Ruggiero;Klezmski;241 280 5384;0 Forest Hill
;Aguistin;Gaymer;224 706 4052;99 Meadow Vale Avenue
;Austina;Richter;532 973 0944;8870 Elka Street
;Nikita;Pook;974 436 5349;63348 Waxwing Place
;Constantino;Tongue;309 152 0807;2194 Manufacturers Street
;Faustina;Cottham;762 419 0243;6564 6th Road
;Nolana;Murra;697 123 7372;22883 Warrior Circle
;Kinnie;Saddler;703 421 0136;85 Lukken Street
;Reynold;Milkeham;336 607 0458;7 Grover Circle
;Patti;Sansbury;586 922 8001;1 Old Gate Junction
;Kass;Beedon;522 295 5037;59075 Heath Trail
;Jaquith;Synke;792 676 3101;4 Utah Point
;Tabbie;Bantick;125 545 2606;026 Blue Bill Park Junction
;Albina;Karchowski;799 308 0547;8 Loomis Alley
;Doralynne;Ruggiero;187 864 2578;98250 Brentwood Plaza
;Ave;Ekkel;171 565 0368;4 Hazelcrest Lane
;Dawn;Stuer;928 837 8383;553 Dwight Avenue
;Noe;Vanyarkin;742 570 0855;8968 Crescent Oaks Point
;Benny;Reece;613 540 1548;72 Jackson Drive
;Zedekiah;Richardet;259 886 7737;09 Menomonie Junction
;Heinrik;Eggar;414 844 1872;74 Center Hill
;Stacy;Crockett;362 786 5214;921 Granby Circle
;Zilvia;McNeish;328 787 5369;44 Mcguire Lane
;Arlina;Jurasek;315 566 6640;489 Golf View Way
;Marsiella;Gallyon;551 522 9682;8 Hazelcrest Pass
;Edith;Waltering;312 898 3873;81 Bunker Hill Parkway
;Ulysses;Gorhardt;723 486 1554;87 Onsgard Trail
;Jessie;Fumagallo;357 637 3528;42659 Milwaukee Trail
;Chicky;Ward;405 505 3570;052 Green Ridge Junction
;Prinz;Aulton;502 718 1707;5406 Shasta Junction
;Oby;Echallier;406 788 5754;0 Hanson Crossing
;Bab;Hewins;706 830 5973;2 Meadow Valley Alley
;Ariana;Temprell;471 699 7134;5 Cottonwood Pass
;Corty;Aleshkov;775 691 7139;99477 Hoffman Circle
;Garrott;Elecum;818 892 6175;821 Oak Crossing
;Carline;Di Pietro;654 135 5611;0444 Evergreen Center
;Pia;Cryer;194 159 9154;22349 Raven Park
;Cary;Lambricht;169 164 1002;30 Elmside Terrace
;Sigismondo;Blincoe;874 209 0812;76270 Norway Maple Center
;Reagan;Artindale;933 744 5903;23155 Carey Center
;Gregoor;Jakuszewski;158 259 2524;9 Meadow Vale Way
;Ynez;Scarth;211 944 7817;3 Memorial Place
;Michele;Danielsky;421 525 9068;00328 Lunder Crossing
;Alexander;Drought;191 198 9211;21807 Corscot Alley
;Ikey;Dedney;982 711 9799;9981 Cordelia Street
;Arlena;Reimer;412 277 2662;37 Bayside Way
;Gussi;Haskins;614 343 6742;65 Mifflin Park
;Luis;Suddards;408 168 0916;46956 Bultman Pass
;Livvyy;Perford;382 228 1268;9 Quincy Point
;Marion;Gartsyde;505 494 6664;5 Buena Vista Avenue
;Eleen;Dailly;377 403 6048;8 Hooker Point
;Charin;Sickert;569 317 1187;8 Ridge Oak Crossing
;Laureen;Parvin;940 180 7949;3071 Pawling Parkway
;Leighton;Dearnaly;675 888 7716;572 Buell Lane
;Stephie;McCorkindale;671 163 8666;64 Pawling Place
;Bryna;Learie;471 506 6878;488 Huxley Point
;Archie;Blanning;653 668 1559;47956 Buena Vista Place
;Erwin;Hargreves;284 496 1764;58 Fuller Drive
;Udell;Benmore;993 344 8100;059 Garrison Parkway
;Joli;Treleven;349 219 6828;4265 Orin Court
;Camala;Veal;851 229 2303;02 Westport Lane
;Sherwynd;Wildt;991 823 1754;45485 Duke Avenue
;Jeanne;Blackadder;311 758 1341;3 Parkside Lane
;Jenni;Trodler;690 464 2616;850 Steensland Place
;Carola;Mulqueeny; 338 1309;1 Chinook Alley
;Mathilda;Masdon;859 619 3536;42350 Drewry Place
;Blake;Alben;999 613 4824;3 Warrior Park
;Don;Roughey;922 216 5477;39 Ryan Drive
;Arabele;Phlipon;942 385 6309;71128 Rockefeller Road
;Alvinia;Delamere;924 625 7936;5028 Gulseth Crossing
;Alix;Gumey;214 108 8025;1 Sheridan Alley
;Floris;Sagerson;140 132 3828;87 Longview Park
;Adan;O'Lehane;823 497 3850;0 Kim Crossing
;Floyd;Rainford;642 348 1187;5759 Reinke Way
;Anthea;Guly;274 776 6792;282 Vermont Place
;Georgeanne;Carayol;848 511 8845;5502 Michigan Point
;Marv;Shilvock;472 128 0689;4940 Badeau Center
;Felike;Crosio;159 363 7550;061 Myrtle Point
;Cirstoforo;Strangeways;559 428 3147;239 Westerfield Point
;Moe;Cable;191 198 5561;7 Arizona Road
;Patrica;Clutram;989 911 9342;67018 Vermont Alley
;Brnaby;Torry;222 984 7848;8 Coleman Junction
;Rahal;Sells;372 334 8907;584 Ohio Pass
;Karole;Lamba;540 941 9096;98444 Esker Road
;Margret;Hegarty;157 910 0723;16 New Castle Junction
;Abeu;Simonini;306 881 6477;922 Buell Circle
;Wallace;Stuer;633 430 1155;91513 Starling Circle
;Nanice;Cartin;848 550 1704;685 Vidon Center
;Luella;Thompson;960 554 5735;26 Bayside Road
;Vinnie;Wooler;871 919 4295;5 Pleasure Road
;Arny;Judgkins;885 110 6686;43 Manley Center
;Harris;MacGaughey;872 667 9339;20 Gerald Drive
;Sherm;Holligan;539 695 5802;28 Declaration Parkway
;Lars;Jakov;428 197 3166;3 Lukken Street
;Anthony;Simmons;618 544 2150;25 Huxley Center
;Barnebas;Marzella;180 536 4697;62609 Debra Terrace
;Jamill;Antonikov;620 541 8547;14008 Mandrake Lane
;Belicia;McCalum;942 941 8748;8 Golf View Point
;Georgeanna;Dunridge;122 868 5026;669 Sachtjen Parkway
;Ross;Dollimore;405 876 4289;95 Carberry Circle
;Dorette;Sproat;689 975 2931;95005 Shoshone Avenue
;Vick;Trenam;667 483 8769;9 Dakota Pass
;Marieann;Tapner;596 930 7323;855 Iowa Point
;Zondra;Rubega;732 126 7995;80 Dayton Hill
;Joey;Glowacki;436 863 1126;6204 Cordelia Park
;Leo;Tourville;448 207 1974;05483 Barby Place
;Pietrek;Pippin;786 151 9480;8 Kropf Pass
;Claudetta;Hazleton;189 153 5430;08 Sunfield Circle
;Arlina;Geraldez;665 309 8988;55 Chinook Way
;Ozzy;Thatcham;568 422 8902;73344 Wayridge Trail
;Abbie;Krabbe;298 757 7980;1498 Cambridge Road
;Jens;Mc Menamin;200 772 5161;3 Logan Avenue
;Antonin;Tinman;541 121 6139;76222 Old Gate Junction
;Scott;Casacchia;599 715 2329;1187 Florence Trail
;Byram;Ruane;380 956 1379;29458 Loeprich Hill
;Pooh;Gillam;525 738 6817;05 Red Cloud Road
;Judy;Niaves;578 465 9053;2598 Meadow Vale Terrace
;Hendrick;Kleinstern;913 458 2319;8106 Superior Terrace
;Nola;McCane;310 528 7857;7 Warbler Road
;Ruby;Gomez;962 305 9630;17 Pleasure Alley
;Tandy;Lowdeane;983 171 5297;58701 Ridgeview Hill
;Kellyann;Fransman;598 338 0915;7412 Tennyson Hill
;Urban;Kerslake;769 652 1998;8 Cottonwood Trail
;Con;Pestridge;697 278 3423;3 Shoshone Terrace
;Obediah;Bernasek;797 529 6338;0328 Stuart Alley
;Natala;Winsborrow;653 211 6273;1 Rutledge Court
;Dionis;Lembke;235 477 3602;95 Butternut Way
;Liv;Ramsby;197 935 8699;06 Kinsman Plaza
;Maurie;Welman;531 125 3495;771 Holmberg Way
;Lynnelle;Dulanty;761 628 8195;843 Eagan Lane
;Addy;Preto;808 510 2670;53883 Stuart Circle
;Terrance;Gremain;464 357 8939;20457 Oakridge Avenue
;Ruthi;Havard;296 883 7840;8 Golf Lane
;Ainslie;Beacock;397 597 0905;59427 Lillian Junction
;Alic;Redfern;639 172 5385;1155 Debs Street
;Goran;Vasilischev;847 139 1276;588 South Road
;Pansy;Yalden;900 309 3687;8 Spenser Road
;Victor;Sebyer;631 973 6711;788 Main Road
;Wallas;King;735 597 1137;17010 Gulseth Street
;Kaspar;Daltry;114 156 9448;47740 Onsgard Avenue
;Myrtia;Crellin;310 108 2704;63664 Talisman Drive
;Rosalynd;Betje;932 246 6341;1611 Declaration Alley
;Lynelle;Alenov;948 410 5563;791 Morning Lane
;Dorris;Dami;365 267 1573;8130 Sachtjen Terrace
;Cecil;Malyan;862 596 4786;5 Crescent Oaks Center
;Janith;Yglesias;288 166 8994;8774 Sage Terrace
;Ebony;Crawford;731 572 5750;202 Waywood Street
;James;Malatalant;696 160 7063;686 Prairie Rose Center
;Ambrosi;Kirkham;684 795 8236;83 Dayton Way
;Gwyn;Brundell;486 647 2834;5 Crownhardt Parkway
;Alphonse;Andrez;579 269 6318;68 Burning Wood Pass
;Rodger;Ismirnioglou;631 471 7624;3937 Prentice Street
;Fawnia;Schrader;519 485 9428;7 Hooker Way
;Rachele;Blakey;713 537 3862;9300 2nd Circle
;Rozalie;Adame;749 526 2987;152 Nelson Terrace
;Edmund;Cornils;717 941 0324;93997 Leroy Park
;Corny;Ashpital;212 513 1307;27984 Merrick Circle
;Bryon;Cortes;242 791 8396;7 Utah Junction
;Marie-jeanne;Shackell;650 516 1160;177 Westport Plaza
;Torrance;Comer;514 982 2968;2 Norway Maple Way
;Kaila;Heritege;357 197 0087;91273 Westridge Street
;Merilyn;Proctor;614 125 7111;8 Farmco Center
;Avrom;Gibling;695 746 1386;156 Grasskamp Avenue
;Miof mela;Klug;241 829 8653;5644 Chinook Road
;Trevor;Lilion;858 449 9725;17866 Oriole Crossing
;Bevan;Poore;492 899 7323;3 Jenna Point
;Kayne;McGill;701 657 6076;756 Kinsman Park
;Bryant;Larchier;441 905 4696;342 Hooker Circle
;Nada;Woodwing;976 319 5983;182 Crownhardt Junction
;Gaylord;Levin;788 780 7337;39483 Clarendon Circle
;Nickolaus;Barley;344 155 9595;75087 Mockingbird Center
;Willi;Fydo;288 116 5139;2865 Emmet Alley
;Sherilyn;Loughhead;838 444 2738;387 Melrose Lane
;Dinny;Gantz;290 320 9300;43 Arkansas Court
;Zacherie;Tamblyn;259 927 1556;3827 Vernon Park
;Krisha;Chafney;231 955 6557;13 Manufacturers Park
;Alisa;De Brett;473 637 0656;207 Algoma Terrace
;Dottie;Bottomer;670 205 6857;66257 Twin Pines Way
;Rivkah;Bordone;225 493 9325;8634 Tennessee Trail
;Salvador;Trippett;711 556 9005;877 Bultman Center
;Emmaline;Rabat;500 178 7213;56 Sutteridge Place
;Pierre;Mableson;244 595 6978;04678 Farwell Way
;Teodoro;Pharrow;795 416 8182;721 Dorton Drive
;Teodoro;Birk;772 114 5752;4 South Alley
;Maribelle;Hadwin;302 374 9617;43 Farwell Junction
;Zelda;Minelli;202 518 8101;80454 Fieldstone Junction
;Georgiana;Ovitts;498 768 0336;18 Artisan Circle
;Sauncho;Brill;938 273 9685;696 Waywood Avenue
;Regan;Slinger;216 123 6141;31 Shoshone Alley
