id_proveedor;nombre;nombre_responsable
;Eli Lilly and Company;Candis Fernandes
;STAT RX USA LLC;Leighton Sleeny
;Mylan Institutional LLC;Isis Stribbling
;Swiss American Products Inc;Gayel Amor
;Crosstex International Inc;Gianni Reed
;Zydus Pharmaceuticals;Feodora Addyman
;Teva Pharmaceuticals;Reilly Robardet
;Crumpton Welding Supply  Equipment Inc;Ayn Foulds
;Mylan Institutional Inc;Fons Ventris
;Lehigh Valley Technologies Inc;Leonhard Riepel
;AbbVie Inc;Virgil Satford
;Reckitt Benckiser LLC;Buffy Weld
;CSL Behring GmbH;Arie Chiverton
;Ebewe Parenta ;Thorsten Danilishin
;DOCTOR HOY'S LLC;Garner Jurisch
;BluePoint Laboratories;Harp Beringer
;SAS Healthcare Inc;Nicolette Joselevitz
;Liberty Pharmaceuticals Inc;Estella Frandsen
;Ventura Corporation LTD;Tommy Comizzoli
;Allergy Laboratories Inc;Ingaborg Paxforde
;Arbor Pharmaceuticals;Hulda Siggin
;UCB Inc;Andreana Gamell
;BioActive Nutritional Inc;Ursala Kenelin
;Nelco Laboratories Inc;Nicolette Joselevitz
;WraSer LLC;Vanna Paxton
;Cardinal Health;Dorothea Dodshon
;Bare Escentuals Beauty Inc;Kyla Londer
;MEGASOL COSMETIC GMBH;Clyde Krysiak
;Aphena Pharma Solutions  Tennessee LLC;Ignacius Huncote
;Mylan ;Lindi Eidler
;Bath  Body Works Inc;Nevins Brugden
;REMEDYREPACK INC;Hanson Rising
;Newton Laboratories Inc;Helenelizabeth Mcasparan
;Aphena Pharma Solutions  Tennessee LLC;Gerti Gillman
;WalMart Stores Inc;Mag Avramchik
;Cardinal Health;Julius Armistead
;Feelgood Health;Federica Drysdell
;Nelco Laboratories Inc;Farr Durram
;Perrigo Company;Stearn Washtell
;Liberty Pharmaceuticals Inc;Erinn Carlino
;Zydus Pharmaceuticals;Ursa Vonasek
;Par Pharmaceutical Companies Inc;Gottfried Seeds
;Aurobindo Pharma Limited;Drusie Echallier
;Nelco Laboratories Inc;Vida Reddy
;Lake Erie Medical DBA ;Wilbur Luparti
;Cardinal Health;Iver Fragino
;Darby Dental Supply Co Inc;Michel Leverentz
;Cadila Healthcare Limited;Sandro Roselli
;Kroger Company;Griffy Martina
;US Oxygen and Supply LLC;Gerti Gillman
;H E B;Marielle Liebermann
;Unit Dose Services;Bancroft Whitelaw
;Physicians Total Care Inc;Haily Gush
;Clinical Solutions Wholesale;Kaylyn Woloschinski
;Sandoz Inc;Jeanna Gopsill
;Preferred Pharmaceuticals Inc;Luis Wysome
;Zydus Pharmaceuticals;Sigmund Littlemore
;KANEBO COSMETICS INC;Hadria Couper
;Apotheca Company;Sofia Kuhwald
;Boehringer Ingelheim Pharmaceuticals Inc;Vita Lethley
;Apotheca Company;Lindi Eidler
;NUGA MEDICAL CO LTD;Gerrard Clemenzi
;Supervalu Inc;Morris Lazenbury
;Cantrell Drug Company;Yoshiko Llywarch
;ALKAbello Inc;Virgil Satford
;Kroger Co;Jeralee Colten
;SHISEIDO CO LTD;Elvina Gatenby
;Dong Sung Pharm Co Ltd;Reg Jodrellec
;Mylan Institutional Inc;Dedie Rubinsaft
;State of Florida DOH Central Pharmacy;Vanna Paxton
;Mylan Institutional Inc;Free Tweedy
;Ningbo Correway Cosmetics Co Ltd;Kial Selwin
;Deseret Biologicals;Weylin Hanselmann
;Northwind Pharmaceuticals;Darren Jahan
;ViJon;Mavis McCloud
;Nelco Laboratories Inc;Boony Krysztowczyk
;Blue Cross Laboratories;Marline Feaver
;NCS HealthCare of KY Inc dba Vangard Labs;Marlin Talks
;Dukal Corporation;Karena Simoneschi
;Jubilant HollisterStier LLC;Roy Lempertz
;Novartis Pharmaceuticals Corporation;Noah Fantonetti
;GlaxoSmithKline Consumer Healthcare LP;Nellie Whimpenny
;Physicians Total Care Inc;Benita Breach
;Ventura Corporation San Juan PR;Ogdan Simnett
;Physicians Total Care Inc;Sanford Halloran
;Nelco Laboratories Inc;Ilysa Fingleton
;AS Medication Solutions LLC;Brenda Fraczak
;Shop Rite;Buffy Weld
;Ventura Corporation LTD;Nicolais Ingraham
;Walgreens Company;Ogden Trevascus
;Biogen Idec Inc;Estella Frandsen
;Nelco Laboratories Inc;Cole Kuhnt
;Jubilant HollisterStier LLC;Lolly Vaskin
;Boehringer Ingelheim Pharmaceuticals Inc;Lenette Helsdon
;Aurolife Pharma LLC;Zahara Foucher
;Prasco Laboratories;Krisha Sarfass
;American Health Packaging;Doroteya M'Chirrie
;Kay Chemical Co;Lorenza Roth
;Publix Super Markets Inc;Guglielma Selbach
;Renaissance Pharma Inc;Mahala Lochran
